Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Edge Chromium 116,,,2023-09-05 15:45:19,2023-09-05 15:45:23,4.181s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), ""54"")",Edge Chromium 116,,,2023-09-05 15:45:23,2023-09-05 15:45:24,1.386s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Edge Chromium 116,,,2023-09-05 15:45:24,2023-09-05 15:45:26,1.455s,PASSED
"verifyTextPresent(""please enter an valid phone number"", false)",Edge Chromium 116,,,2023-09-05 15:45:26,2023-09-05 15:45:27,0.942s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-Failed-005,Edge Chromium 116,user melakukan sedekah online namun saat input no handphone user menginputkan nomor handphone lebih dari 13 digit,,2023-09-05 15:47:07,2023-09-05 15:47:41,33.806s,FAILED
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:47:07,2023-09-05 15:47:16,8.682s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:47:16,2023-09-05 15:47:17,0.788s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:47:17,2023-09-05 15:47:18,1.210s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:47:18,2023-09-05 15:47:20,1.734s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:47:20,2023-09-05 15:47:20,0.655s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), nominalSedekah)",Edge Chromium 116,,,2023-09-05 15:47:20,2023-09-05 15:47:21,1.107s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Edge Chromium 116,,,2023-09-05 15:47:21,2023-09-05 15:47:23,1.695s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), ""0867543212343214"")",Edge Chromium 116,,,2023-09-05 15:47:23,2023-09-05 15:47:24,1.396s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Edge Chromium 116,,,2023-09-05 15:47:24,2023-09-05 15:47:26,1.365s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), metodePembayaran, false)",Edge Chromium 116,,,2023-09-05 15:47:26,2023-09-05 15:47:29,2.980s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), tujuanSedekah, false)",Edge Chromium 116,,,2023-09-05 15:47:29,2023-09-05 15:47:33,3.948s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Edge Chromium 116,,,2023-09-05 15:47:33,2023-09-05 15:47:37,4.205s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), ""14"")",Edge Chromium 116,,,2023-09-05 15:47:37,2023-09-05 15:47:38,1.325s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Edge Chromium 116,,,2023-09-05 15:47:38,2023-09-05 15:47:39,1.200s,PASSED
"verifyTextPresent(""please enter an valid phone number"", false)",Edge Chromium 116,,,2023-09-05 15:47:39,2023-09-05 15:47:41,1.283s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-Failed-006,Edge Chromium 116,User melakukan sedekah online namun saat input nomor handphone atau dua digit terakhir nomor handphone mengandung karakter spesial,,2023-09-05 15:47:54,2023-09-05 15:48:25,30.508s,PASSED
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:47:54,2023-09-05 15:48:03,8.354s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:48:03,2023-09-05 15:48:03,0.169s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:48:03,2023-09-05 15:48:04,0.939s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:48:04,2023-09-05 15:48:05,1.073s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:48:05,2023-09-05 15:48:05,0.637s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), nominalSedekah)",Edge Chromium 116,,,2023-09-05 15:48:05,2023-09-05 15:48:06,1.050s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Edge Chromium 116,,,2023-09-05 15:48:06,2023-09-05 15:48:08,1.626s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Edge Chromium 116,,,2023-09-05 15:48:08,2023-09-05 15:48:10,1.422s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Edge Chromium 116,,,2023-09-05 15:48:10,2023-09-05 15:48:11,1.366s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), metodePembayaran, false)",Edge Chromium 116,,,2023-09-05 15:48:11,2023-09-05 15:48:14,2.829s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), tujuanSedekah, false)",Edge Chromium 116,,,2023-09-05 15:48:14,2023-09-05 15:48:18,3.995s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Edge Chromium 116,,,2023-09-05 15:48:18,2023-09-05 15:48:22,4.222s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), "",4"")",Edge Chromium 116,,,2023-09-05 15:48:22,2023-09-05 15:48:23,1.360s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Edge Chromium 116,,,2023-09-05 15:48:23,2023-09-05 15:48:24,0.871s,PASSED
webDriver = getWebDriver(),Edge Chromium 116,,,2023-09-05 15:48:24,2023-09-05 15:48:24,0.002s,PASSED
"field_nomor = webDriver.findElement(By.xpath(""//input[@name=""validasi""]""))",Edge Chromium 116,,,2023-09-05 15:48:24,2023-09-05 15:48:25,0.371s,PASSED
"error_message = webDriver.executeScript(""return arguments[0].validationMessage"", field_nomor)",Edge Chromium 116,,,2023-09-05 15:48:25,2023-09-05 15:48:25,0.032s,PASSED
println(error_message),Edge Chromium 116,,,2023-09-05 15:48:25,2023-09-05 15:48:25,0.006s,PASSED
"assert error_message == ""Please enter a valid value. The two nearest valid values are 0 and 1.""",Edge Chromium 116,,,2023-09-05 15:48:25,2023-09-05 15:48:25,0.001s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-Failed-007,Edge Chromium 116,User mengosongkan satu atau lebih inputan saat akan melakukan sedekah online,,2023-09-05 15:48:25,2023-09-05 15:48:54,28.849s,PASSED
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:48:27,2023-09-05 15:48:35,7.506s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:48:35,2023-09-05 15:48:35,0.441s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:48:35,2023-09-05 15:48:36,0.939s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:48:36,2023-09-05 15:48:37,1.305s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:48:37,2023-09-05 15:48:38,0.713s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), nominalSedekah)",Edge Chromium 116,,,2023-09-05 15:48:38,2023-09-05 15:48:39,1.224s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Edge Chromium 116,,,2023-09-05 15:48:39,2023-09-05 15:48:41,1.815s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Edge Chromium 116,,,2023-09-05 15:48:41,2023-09-05 15:48:43,1.675s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), metodePembayaran, false)",Edge Chromium 116,,,2023-09-05 15:48:43,2023-09-05 15:48:44,0.892s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), tujuanSedekah, false)",Edge Chromium 116,,,2023-09-05 15:48:44,2023-09-05 15:48:47,3.044s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Edge Chromium 116,,,2023-09-05 15:48:47,2023-09-05 15:48:51,4.249s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), duaDigitAkhir)",Edge Chromium 116,,,2023-09-05 15:48:51,2023-09-05 15:48:52,1.472s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Edge Chromium 116,,,2023-09-05 15:48:52,2023-09-05 15:48:53,0.809s,PASSED
webDriber = getWebDriver(),Edge Chromium 116,,,2023-09-05 15:48:53,2023-09-05 15:48:53,0.001s,PASSED
"field_nmLengkap = webDriber.findElement(By.xpath(""//input[@name=""nama_lengkap""]""))",Edge Chromium 116,,,2023-09-05 15:48:53,2023-09-05 15:48:54,0.321s,PASSED
"error_message = webDriber.executeScript(""return arguments[0].validationMessage"", field_nmLengkap)",Edge Chromium 116,,,2023-09-05 15:48:54,2023-09-05 15:48:54,0.038s,PASSED
println(error_message),Edge Chromium 116,,,2023-09-05 15:48:54,2023-09-05 15:48:54,0.001s,PASSED
"assert error_message == ""Please fill out this field.""",Edge Chromium 116,,,2023-09-05 15:48:54,2023-09-05 15:48:54,0.001s,PASSED
