Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 11:08:08,2023-09-29 11:08:09,0.829s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 11:08:09,2023-09-29 11:08:10,1.337s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 11:08:10,2023-09-29 11:08:11,0.873s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 11:08:11,2023-09-29 11:08:12,0.995s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 11:08:12,2023-09-29 11:08:13,0.873s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 11:08:13,2023-09-29 11:08:15,1.674s,PASSED
"verifyTextPresent(""please enter an valid phone number"", false)",Firefox 117.0,,,2023-09-29 11:08:15,2023-09-29 11:08:16,1.458s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-007,Firefox 117.0,User melakukan sedekah online namun saat input nomor handphone atau dua digit terakhir nomor handphone mengandung karakter spesial,,2023-09-29 11:08:16,2023-09-29 11:08:40,24.151s,FAILED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:08:18,2023-09-29 11:08:28,10.396s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:08:28,2023-09-29 11:08:28,0.072s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:08:28,2023-09-29 11:08:29,0.790s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:08:29,2023-09-29 11:08:30,1.249s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:08:30,2023-09-29 11:08:31,0.767s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 11:08:31,2023-09-29 11:08:32,0.929s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 11:08:32,2023-09-29 11:08:33,1.163s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 11:08:33,2023-09-29 11:08:35,1.185s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 11:08:35,2023-09-29 11:08:35,0.803s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 11:08:35,2023-09-29 11:08:36,0.959s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 11:08:36,2023-09-29 11:08:37,0.814s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 11:08:37,2023-09-29 11:08:38,1.073s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 11:08:38,2023-09-29 11:08:39,0.823s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 11:08:39,2023-09-29 11:08:40,0.961s,PASSED
webDriver = getWebDriver(),Firefox 117.0,,,2023-09-29 11:08:40,2023-09-29 11:08:40,0.003s,PASSED
"field_nomor = webDriver.findElement(By.xpath(""//input[@name=""validasi""]""))",Firefox 117.0,,,2023-09-29 11:08:40,2023-09-29 11:08:40,0.280s,PASSED
"error_message = webDriver.executeScript(""return arguments[0].validationMessage"", field_nomor)",Firefox 117.0,,,2023-09-29 11:08:40,2023-09-29 11:08:40,0.100s,PASSED
println(error_message),Firefox 117.0,,,2023-09-29 11:08:40,2023-09-29 11:08:40,0.002s,PASSED
"assert error_message == ""Please enter a valid value. The two nearest valid values are 0 and 1.""",Firefox 117.0,,,2023-09-29 11:08:40,2023-09-29 11:08:40,0.023s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-008,Firefox 117.0,User mengosongkan satu atau lebih inputan saat akan melakukan sedekah online,,2023-09-29 11:08:40,2023-09-29 11:09:04,23.352s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:08:42,2023-09-29 11:08:53,10.648s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:08:53,2023-09-29 11:08:53,0.084s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:08:53,2023-09-29 11:08:53,0.613s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:08:53,2023-09-29 11:08:55,1.258s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:08:55,2023-09-29 11:08:55,0.677s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 11:08:55,2023-09-29 11:08:56,0.913s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 11:08:56,2023-09-29 11:08:57,1.165s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 11:08:57,2023-09-29 11:08:58,0.953s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 11:08:58,2023-09-29 11:08:59,1.002s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 11:08:59,2023-09-29 11:09:01,1.071s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 11:09:01,2023-09-29 11:09:02,1.126s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 11:09:02,2023-09-29 11:09:03,1.017s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 11:09:03,2023-09-29 11:09:03,0.832s,PASSED
webDriber = getWebDriver(),Firefox 117.0,,,2023-09-29 11:09:03,2023-09-29 11:09:03,0.001s,PASSED
"field_nmLengkap = webDriber.findElement(By.xpath(""//input[@name=""nama_lengkap""]""))",Firefox 117.0,,,2023-09-29 11:09:03,2023-09-29 11:09:04,0.265s,PASSED
"error_message = webDriber.executeScript(""return arguments[0].validationMessage"", field_nmLengkap)",Firefox 117.0,,,2023-09-29 11:09:04,2023-09-29 11:09:04,0.020s,PASSED
println(error_message),Firefox 117.0,,,2023-09-29 11:09:04,2023-09-29 11:09:04,0.001s,PASSED
"assert error_message == ""Please fill out this field.""",Firefox 117.0,,,2023-09-29 11:09:04,2023-09-29 11:09:04,0.000s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-009,Firefox 117.0,User melakukan sedekah online dengan menginputkan doa lebih dari 150 karakter,,2023-09-29 11:09:04,2023-09-29 11:09:32,27.743s,FAILED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:09:05,2023-09-29 11:09:17,11.315s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:09:17,2023-09-29 11:09:17,0.039s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:09:17,2023-09-29 11:09:17,0.861s,PASSED
"verifyElementClickable(findTestObject(""sedekah online/a_Sedekah Online""), STOP_ON_FAILURE)",Firefox 117.0,,,2023-09-29 11:09:17,2023-09-29 11:09:18,0.595s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:09:18,2023-09-29 11:09:19,1.431s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:09:19,2023-09-29 11:09:20,0.728s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 11:09:20,2023-09-29 11:09:21,1.039s,PASSED
